English Word,French Translation,Type,Meaning 
Abruptness,Brusquerie,n.,The state of being abrupt or broken; craggedness; ruggedness; steepness.
Abscesses,Abcès,pl. ,of Abscess
Abscess,Abcès,n.,"A collection of pus or purulent matter in any tissue or organ of the body, the result of a morbid process."
Abscession,Abscession,n.,"A separating; removal; also, an abscess."
Abscind,s'abstenir,v. t.,To cut off.
Abscision,Abscision,n.,See Abscission.
Abscisses,Abscisses,pl. ,of Absciss
Absciss,Abscis,n.,See Abscissa.
Abscissas,Abscisses,pl. ,of Abscissa
Abscissae,Abscisse,pl. ,of Abscissa
Abscissa,Abscisse,n.,"One of the elements of reference by which a point, as of a curve, is referred to a system of fixed rectilineal coordinate axes."
Abscission,Abscission,n.,The act or process of cutting off.
Absconded,s'est enfui,imp. & p. p.,of Abscond
Absconding,s'enfuir,p. pr. & vb. n.,of Abscond
Abscond,Prendre la fuite,v. i.,"To hide, withdraw, or be concealed."
Abscondence,Abscondence,n.,Fugitive concealment; secret retirement; hiding.
Absconder,Fugitif,n.,One who absconds.
Absence,Absence,n.,A state of being absent or withdrawn from a place or from companionship; -- opposed to presence.
Absent,Absent,a.,Being away from a place; withdrawn from a place; not present.
Absented,Absent,imp. & p. p.,of Absent
Absenting,Absent,p. pr. & vb. n.,of Absent
Absentaneous,Absent,a.,Pertaining to absence.
Absentation,Absence,n.,The act of absenting one's self.
Absentee,Absent,n.,"One who absents himself from his country, office, post, or duty; especially, a landholder who lives in another country or district than that where his estate is situated; as, an Irish absentee."
Absenteeism,Absentéisme,n.,The state or practice of an absentee; esp. the practice of absenting one's self from the country or district where one's estate is situated.
Absenter,Absent,n.,One who absents one's self.
Absently,Absolument,adv.,In an absent or abstracted manner.
Absentment,Absence,n.,The state of being absent; withdrawal.
Absent-minded,Distrait,a.,Absent in mind; abstracted; preoccupied.
Absentness,Absence,n.,The quality of being absent-minded.
Absey-book,Absey-book,n.,An A-B-C book; a primer.
Absinthate,absinthe,n.,A combination of absinthic acid with a base or positive radical.
Absinth,Absinthe,n.,Alt. of Absinthe
Absinthe,Absinthe,n.,The plant absinthium or common wormwood.
Absinthial,Absinthique,a.,Of or pertaining to wormwood; absinthian.
Absinthian,Absinthienne,n.,Of the nature of wormwood.
Absinthiate,absinthe,v. t.,To impregnate with wormwood.
Absinthiated,Absinthe,a.,"Impregnated with wormwood; as, absinthiated wine."
Absinthic,Absinthique,a.,Relating to the common wormwood or to an acid obtained from it.
Absinthin,Absinthe,n.,The bitter principle of wormwood (Artemisia absinthium).
Absinthism,Absinthisme,n.,The condition of being poisoned by the excessive use of absinth.
Absinthium,Absinthium,n.,"The common wormwood (Artemisia absinthium), an intensely bitter plant, used as a tonic and for making the oil of wormwood."
Absis,Absis,n.,See Apsis.
Absist,Absent,v. i.,To stand apart from; top leave off; to desist.
Absistence,Absence,n.,A standing aloof.
Absolute,Absolument,a.,"Loosed from any limitation or condition; uncontrolled; unrestricted; unconditional; as, absolute authority, monarchy, sovereignty, an absolute promise or command; absolute power; an absolute monarch."
Absolutely,Absolument,adv.,"In an absolute, independent, or unconditional manner; wholly; positively."
Absoluteness,Absoluité,n.,The quality of being absolute; independence of everything extraneous; unlimitedness; absolute power; independent reality; positiveness.
Absolution,Absolution,n.,"An absolving, or setting free from guilt, sin, or penalty; forgiveness of an offense."
Absolutism,Absolutisme,n.,The state of being absolute; the system or doctrine of the absolute; the principles or practice of absolute or arbitrary government; despotism.
Absolutist,Absolu,n.,One who is in favor of an absolute or autocratic government.
Absolutistic,absolutiste,a.,Pertaining to absolutism; absolutist.
Absolutory,Absolu,a.,Serving to absolve; absolving.
Absolvable,insoluble,a.,That may be absolved.
Absolvatory,Absolvatoire,a.,Conferring absolution; absolutory.
Absolved,Absolu,imp. & p. p.,of Absolve
Absolving,Absoudre,p. pr. & vb. n.,of Absolve
Absolve,Absolument,v. t.,"To set free, or release, as from some obligation, debt, or responsibility, or from the consequences of guilt or such ties as it would be sin or guilt to violate; to pronounce free; as, to absolve a subject from his allegiance; to absolve an offender, which amounts to an acquittal and remission of his punishment."
Absolvent,Absolu,a.,Absolving.
Absolver,Absolver,n.,One who absolves.
Absonant,Absonant,a.,Discordant; contrary; -- opposed to consonant.
Absonous,Absoneux,a.,Discordant; inharmonious; incongruous.
Absorbed,Absorbé,imp. & p. p.,of Absorb
Absorbing,Absorbant,p. pr. & vb. n.,of Absorb
Absorb,Absorber,v. t.,To swallow up; to engulf; to overwhelm; to cause to disappear as if by swallowing up; to use up; to include.
Absorbability,Absorbabilité,n.,The state or quality of being absorbable.
Absorbable,Résorbable,a.,Capable of being absorbed or swallowed up.
Absorbedly,Absorbé,adv.,In a manner as if wholly engrossed or engaged.
Absorbency,Absorption,n.,Absorptiveness.
Absorbent,Absorbant,a.,Absorbing; swallowing; absorptive.
Absorber,Absorbeur,n.,"One who, or that which, absorbs."
Absorbition,Absorption,n.,Absorption.
Absorpt,Absorber,a.,Absorbed.
Absorption,Absorption,n.,"The act or process of absorbing or sucking in anything, or of being absorbed and made to disappear; as, the absorption of bodies in a whirlpool, the absorption of a smaller tribe into a larger."
Absorptive,Absorbant,a.,"Having power, capacity, or tendency to absorb or imbibe."
Absorptiveness,Absorption,n.,The quality of being absorptive; absorptive power.
Absorptivity,Absorptivité,n.,Absorptiveness.
Absquatulate,Absquatter,v. i.,To take one's self off; to decamp.
Absque hoc,Absque hoc,,"The technical words of denial used in traversing what has been alleged, and is repeated."
Abstained,Abstention,imp. & p. p.,of Abstain
Abstaining,S'abstenir,p. pr. & vb. n.,of Abstain
Abstain,Abstention,v. i.,"To hold one's self aloof; to forbear or refrain voluntarily, and especially from an indulgence of the passions or appetites; -- with from."
Abstainer,Abstentionniste,n.,"One who abstains; esp., one who abstains from the use of intoxicating liquors."
Abstemious,Sobre,a.,Abstaining from wine.
Abstemiousness,sobriété,n.,"The quality of being abstemious, temperate, or sparing in the use of food and strong drinks. It expresses a greater degree of abstinence than temperance."
Abstention,Abstention,a.,The act of abstaining; a holding aloof.
Abstentious,Abstentieux,a.,Characterized by abstinence; self-restraining.
Absterge,Absterge,v. t.,"To make clean by wiping; to wipe away; to cleanse; hence, to purge."
Abstergent,Abstrait,a.,"Serving to cleanse, detergent."
Absterse,Abstinence,v. t.,To absterge; to cleanse; to purge away.
Abstersion,Avortement,n.,Act of wiping clean; a cleansing; a purging.
Abstersive,Abstersif,a.,Cleansing; purging.
Abstersiveness,Abstersivité,n.,The quality of being abstersive.
Abstinence,Abstinence,n.,"The act or practice of abstaining; voluntary forbearance of any action, especially the refraining from an indulgence of appetite, or from customary gratifications of animal or sensual propensities. Specifically, the practice of abstaining from intoxicating beverages, -- called also total abstinence."
Abstinency,Abstinence,n.,Abstinence.
Abstinent,Abstinent,a.,"Refraining from indulgence, especially from the indulgence of appetite; abstemious; continent; temperate."
Abstinently,Abstinence,adv.,With abstinence.
Abstorted,Abrégé,a.,Wrested away.
Abstract,Résumé,a.,Withdraw; separate.
Abstracted,Distrait,imp. & p. p.,of Abstract
Abstracting,Résumé,p. pr. & vb. n.,of Abstract
Abstractedly,Distraitement,adv.,In an abstracted manner; separately; with absence of mind.
Abstractedness,Distraction,n.,The state of being abstracted; abstract character.
Abstracter,Abstracteur,n.,"One who abstracts, or makes an abstract."
Abstraction,Abstraction,a.,"The act of abstracting, separating, or withdrawing, or the state of being withdrawn; withdrawal."
Abstractional,abstrait,a.,Pertaining to abstraction.
Abstractionist,Abstractionniste,n.,An idealist.
Abstractitious,abstrait,a.,Obtained from plants by distillation.
Abstractive,abstrait,a.,Having the power of abstracting; of an abstracting nature.
Abstractively,de manière abstraite,adv.,In a abstract manner; separately; in or by itself.
Abstractiveness,Abstractivité,n.,The quality of being abstractive; abstractive property.
Abstractly,abstraitement,adv.,"In an abstract state or manner; separately; absolutely; by itself; as, matter abstractly considered."
Abstractness,L'abstrait,n.,The quality of being abstract.
Abstringe,Abstringe,v. t.,To unbind.
Abstrude,Abstrus,v. t.,To thrust away.
Abstruse,Abstrus,a.,Concealed or hidden out of the way.
Abstrusely,Absolument,adv.,In an abstruse manner.
Abstruseness,Absconse,n.,The quality of being abstruse; difficulty of apprehension.
Abstrusion,Abstraction,n.,The act of thrusting away.
Abstrusity,Abstrusité,n.,Abstruseness; that which is abstruse.
Absume,Absumer,v. t.,To consume gradually; to waste away.
Absumption,Absomption,n.,Act of wasting away; a consuming; extinction.
Absurd,Absurde,a.,"Contrary to reason or propriety; obviously and fiatly opposed to manifest truth; inconsistent with the plain dictates of common sense; logically contradictory; nonsensical; ridiculous; as, an absurd person, an absurd opinion; an absurd dream."
Absurdities,Absurdités,pl. ,of Absurdity
Absurdity,Absurdité,n.,"The quality of being absurd or inconsistent with obvious truth, reason, or sound judgment."
Absurdly,Absurdement,adv.,In an absurd manner.
Absurdness,Absurdité,n.,Absurdity.
Abuna,Abonnement,n.,"The Patriarch, or head of the Abyssinian Church."
Abundance,Abondance,n.,"An overflowing fullness; ample sufficiency; great plenty; profusion; copious supply; superfluity; wealth: -- strictly applicable to quantity only, but sometimes used of number."
Abundant,Abondant,a.,"Fully sufficient; plentiful; in copious supply; -- followed by in, rarely by with."
Abundantly,Abondamment,adv.,In a sufficient degree; fully; amply; plentifully; in large measure.
Aburst,Un éclat,adv.,In a bursting condition.
Abusable,Abusable,a.,That may be abused.
Abusage,Abus,n.,Abuse.
Abused,Abusée,imp. & p. p.,of Abuse
Abusing,abuser,p. pr. & vb. n.,of Abuse
Abuse,Abuser de,v. t.,"To put to a wrong use; to misapply; to misuse; to put to a bad use; to use for a wrong purpose or end; to pervert; as, to abuse inherited gold; to make an excessive use of; as, to abuse one's authority."
Abuseful,abusif,a.,Full of abuse; abusive.
Abuser,Abuseur,n.,One who abuses [in the various senses of the verb].
Abusion,Abus,v. t.,Evil or corrupt usage; abuse; wrong; reproach; deception; cheat.
Abusive,Injurieux,a.,Wrongly used; perverted; misapplied.
Abusively,Abusivement,adv.,In an abusive manner; rudely; with abusive language.
Abusiveness,Abus,n.,"The quality of being abusive; rudeness of language, or violence to the person."
Abutted,abouté,imp. & p. p.,of Abut
Abutting,bout à bout,p. pr. & vb. n.,of Abut
Abut,buter,v. i.,"To project; to terminate or border; to be contiguous; to meet; -- with on, upon, or against; as, his land abuts on the road."
Abutilon,Abutilon,n.,"A genus of malvaceous plants of many species, found in the torrid and temperate zones of both continents; -- called also Indian mallow."
Abutment,Pilier,n.,State of abutting.
Abuttal,Abutal,n.,"The butting or boundary of land, particularly at the end; a headland."
Abutter,Du beure,n.,"One who, or that which, abuts. Specifically, the owner of a contiguous estate; as, the abutters on a street or a river."
Abuzz,bourdonner,a.,In a buzz; buzzing.
Aby,Aby,v. t. & i.,Alt. of Abye
Abye,Abye,v. t. & i.,To pay for; to suffer for; to atone for; to make amends for; to give satisfaction.
Abysm,Abîme,n.,An abyss; a gulf.
Abysmal,Épouvantable,a.,"Pertaining to, or resembling, an abyss; bottomless; unending; profound."
Abysmally,Abîmement,adv.,To a fathomless depth; profoundly.
Abyss,Abîme,n.,"A bottomless or unfathomed depth, gulf, or chasm; hence, any deep, immeasurable, and, specifically, hell, or the bottomless pit."
Abyssal,Abyssal,a.,"Belonging to, or resembling, an abyss; unfathomable."
Abyssinian,abyssinien,a.,Of or pertaining to Abyssinia.
Acacia,Acacia,n.,"A roll or bag, filled with dust, borne by Byzantine emperors, as a memento of mortality. It is represented on medals."
Acacias,Acacias,pl. ,of Acacia
Acaciae,Acaciae,pl. ,of Acacia
Acacin,Acacine,n.,Alt. of Acacine
Acacine,Acacine,n.,Gum arabic.
Academe,Université,n.,An academy.
Academial,Académique,a.,Academic.
Academian,Académicien,n.,"A member of an academy, university, or college."
Academic,Académique,a.,Alt. of Academical
Academical,Académique,a.,"Belonging to the school or philosophy of Plato; as, the Academic sect or philosophy."
Academically,Académiquement,adv.,In an academical manner.
Academicals,Académiques,n. pl.,The articles of dress prescribed and worn at some colleges and universities.
Academician,Académicien,n.,"A member of an academy, or society for promoting science, art, or literature, as of the French Academy, or the Royal Academy of arts."
Academicism,Académisme,n.,A tenet of the Academic philosophy.
Academism,Académisme,n.,The doctrines of the Academic philosophy.
Academist,Académicien,n.,An Academic philosopher.
Academies,Académies,pl. ,of Academy
Academy,Académie,n.,"A garden or grove near Athens (so named from the hero Academus), where Plato and his followers held their philosophical conferences; hence, the school of philosophy of which Plato was head."
Acadian,Acadien,a.,"Of or pertaining to Acadie, or Nova Scotia."
Acajou,Acajou,n.,"The cashew tree; also, its fruit. See Cashew."
Acalephs,Acalephs,pl. ,of Acalephan
Acalephans,Acalephanes,pl. ,of Acalephan
Acaleph,Acaleph,n.,Alt. of Acalephan
Acalephan,Acalephane,n.,One of the Acalephae.
Acalephae,Acalephae,n. pl.,"A group of Coelenterata, including the Medusae or jellyfishes, and hydroids; -- so called from the stinging power they possess. Sometimes called sea nettles."
